"PERMISSION_ID","DATE_CREATED","DATE_MODIFIED","UPDT_ID","PERMISSION_NAME"
"1","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","STORE_ADMIN"
"2","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","SUPERADMIN"
"3","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","ADMIN"
"4","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","AUTH"
"5","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","PRODUCTS"
"6","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","ORDER"
"7","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","CONTENT"
"8","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","STORE"
"9","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","TAX"
"10","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","PAYMENT"
"11","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","CUSTOMER"
"12","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","SHIPPING"
"13","2017-12-14 18:58:30","2017-12-14 18:58:30","NULL","AUTH_CUSTOMER"
