"DESCRIPTION_ID","DATE_CREATED","DATE_MODIFIED","UPDT_ID","DESCRIPTION","NAME","TITLE","LANGUAGE_ID","ZONE_ID"
"200","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Guipuzcoa","NULL","1","1"
"201","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Guipuzcoa","NULL","2","1"
"202","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Hawaii","NULL","1","2"
"203","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Hawaii","NULL","2","2"
"204","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Puerto Rico","NULL","1","3"
"205","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Puerto Rico","NULL","2","3"
"206","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Zamora","NULL","1","4"
"207","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Zamora","NULL","2","4"
"208","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Vizcaya","NULL","1","5"
"209","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Vizcaya","NULL","2","5"
"210","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Albacete","NULL","1","6"
"211","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Albacete","NULL","2","6"
"212","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Lleida","NULL","1","7"
"213","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Lleida","NULL","2","7"
"214","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Quebec","NULL","1","8"
"215","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Québec","NULL","2","8"
"216","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Nordrhein-Westfalen","NULL","1","9"
"217","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Nordrhein-Westfalen","NULL","2","9"
"218","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Iowa","NULL","1","10"
"219","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Iowa","NULL","2","10"
"220","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Idaho","NULL","1","11"
"221","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Idaho","NULL","2","11"
"222","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Yukon Territory","NULL","1","12"
"223","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Yukon","NULL","2","12"
"224","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Leon","NULL","1","13"
"225","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Leon","NULL","2","13"
"226","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","A Corua","NULL","1","14"
"227","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Castellon","NULL","1","15"
"228","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Castellon","NULL","2","15"
"229","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Las Palmas","NULL","1","16"
"230","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Las Palmas","NULL","2","16"
"231","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Pontevedra","NULL","1","17"
"232","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Pontevedra","NULL","2","17"
"233","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Armed Forces Americas","NULL","1","18"
"234","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Armed Forces Americas","NULL","2","18"
"235","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Teruel","NULL","1","19"
"236","2017-12-14 18:58:28","2017-12-14 18:58:28","NULL","NULL","Teruel","NULL","2","19"
"237","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Alberta","NULL","1","20"
"238","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Alberta","NULL","2","20"
"239","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Armed Forces Canada","NULL","1","21"
"240","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Armed Forces Canada","NULL","2","21"
"241","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Illinois","NULL","1","22"
"242","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Illinois","NULL","2","22"
"243","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Armed Forces Europe","NULL","1","23"
"244","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Armed Forces Europe","NULL","2","23"
"245","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Armed Forces Africa","NULL","1","24"
"246","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Armed Forces Africa","NULL","2","24"
"247","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Indiana","NULL","1","25"
"248","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Indiana","NULL","2","25"
"249","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Aargau","NULL","1","26"
"250","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Aargau","NULL","2","26"
"251","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","A Corua","NULL","2","27"
"252","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Appenzell Innerrhoden","NULL","1","28"
